,ticker,sector,company_name,market_cap,market_category,analyst_consensus,stock_outstanding
1858,DELTF,consumergoods,Delta Galil Industries,447306426,Small,,
1859,CLAR,consumergoods,Clarus,446376660,Small,StrongBuy,31063093.94572025
1860,PRTA,healthcare,Prothena,446321397,Small,ModerateBuy,39921412.969588555
1861,PSKRF,financial,Protector Forsikring ASA,446206250,Small,,
1862,LXFR,industrialgoods,Luxfer,445544456,Small,,27622098.94606324
1863,TRNE,financial,Trine Acquisition,445347562,Small,,37518749.957877
1864,HCKT,services,The Hackett Group,444932759,Small,ModerateBuy,29961801.952861954
1865,TVBCY,services,Television Broadcasts,444570000,Small,,222285000.0
1866,GBDMF,technology,Global Dominion Access SA,444271732,Small,,
1867,PTGIF,utilities,PT Medco Energi Internasional Tbk,442708898,Small,,
1868,JIH,financial,Juniper Industrial Holdings,442462500,Small,,43125000.0
1869,FUV,consumergoods,Arcimoto,441878726,Small,ModerateBuy,31858595.962509014
1870,AUMTF,basicmaterials,Aurelia Metals,441687786,Small,,1766751144.0
1871,MTEM,healthcare,Molecular Templates,441683695,Small,StrongBuy,49964218.891402714
1872,THBR,financial,Thunder Bridge Acquisition II,441600000,Small,,43125000.0
1873,OXLC,financial,Oxford Lane Capital,441258000,Small,,87900000.00000001
1874,IUGNF,healthcare,Imugene,440926980,Small,,4409269800.0
1875,CNSL,technology,Consolidated Comms,439934308,Small,,79410524.90974729
1876,PBYI,healthcare,Puma Biotechnology,439374862,Small,ModerateBuy,39762430.95022624
1877,FAII,financial,Fortress Value Acquisition II,437718750,Small,,43125000.0
1878,BLCT,technology,BlueCity Holdings,437085428,Small,,35651339.96737357
1879,CUTR,healthcare,Cutera,436231736,Small,ModerateBuy,17632648.989490703
1880,TOUR,services,Tuniu,435487804,Small,,123367649.85835695
1881,RNWEF,industrialgoods,REC Silicon ASA,434977489,Small,Hold,371775631.62393165
1882,CNBKA,financial,Century Bancorp,434965051,Small,,5567908.998975934
