,ticker,sector,company_name,market_cap,market_category,analyst_consensus,stock_outstanding
1462,SVMK,technology,SVMK,2979372489,Medium,StrongBuy,142213483.96181384
1463,OIBRQ,technology,Oi SA,2976181325,Medium,,5411238772.727272
1464,NYUKF,industrialgoods,Nippon Yusen Kabushiki Kaisha,2973115635,Medium,ModerateBuy,135820723.38967565
1465,SKLYF,services,Skylark Holdings Co,2972408110,Medium,,
1466,GKOS,healthcare,Glaukos,2971949663,Medium,Hold,44961416.98940999
1467,DORM,consumergoods,Dorman Products,2965533119,Medium,Hold,32286696.99510071
1468,FNMA,financial,Federal National Mortgage Association,2964704171,Medium,Hold,1158087566.796875
1469,GEF,basicmaterials,Greif Class A,2961977006,Medium,ModerateBuy,59453572.982737854
1470,FRTIF,financial,Fortress REIT,2961605521,Medium,,
1471,NHI,financial,National Health Investors,2961070193,Medium,Hold,44729156.9939577
1472,IHICF,industrialgoods,IHI,2960866805,Medium,,
1473,BZUN,consumergoods,Baozun,2958769978,Medium,Hold,77760051.98423128
1474,AMLLF,financial,AEON Mall Co,2957959446,Medium,,
1475,NKTR,healthcare,Nektar Therapeutics,2956490015,Medium,ModerateBuy,179398665.95873785
1476,OPCH,healthcare,Option Care Health,2952658825,Medium,ModerateBuy,186758938.96268183
1477,AJRD,technology,Aerojet Rocketdyne Holdings,2950568000,Medium,StrongBuy,76400000.0
1478,MTSI,technology,MACOM Technology Solutions Holdings,2949536174,Medium,StrongBuy,67961662.99539171
1479,VCYT,healthcare,Veracyte,2946973638,Medium,ModerateBuy,57897320.982318275
1480,MMTOF,consumergoods,Mitsubishi Motors,2946860722,Medium,,1488313495.959596
1481,TTUUF,financial,Tokyu Fudosan Holdings,2945080691,Medium,ModerateBuy,
1482,ACIA,technology,Acacia Communications,2939543302,Medium,,42143989.99283154
1483,SPB,consumergoods,Spectrum Brands Holdings,2939510719,Medium,StrongBuy,43082378.99750842
1484,GMOYF,technology,GMO Internet,2935821762,Medium,,109260206.99665053
1485,HI,industrialgoods,Hillenbrand,2934340713,Medium,StrongBuy,74779325.0
1486,ALKS,healthcare,Alkermes,2933130537,Medium,Hold,159149784.97015736
